year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1988,Hockey,Hockey,"CAPES-HAGER, Michelle Edith",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"CARBON, Sally May",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"CLEMENT-DENNING, Elspeth",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"HAWKES, Rechelle",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"FISH, Maree",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"CAPES, Lee",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"HILLAS, Lorraine",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"PARTRIDGE, Kathleen Anne",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"DORMAN, Loretta",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"BOWMAN, Deborah",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"VON WEILER, Sophie Pauline",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"WOLFF, Ingrid Imelda",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"WILLEMSE, Laurien",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"PATMORE, Sharon",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"VAN MANEN, Aletta",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"VAN DOORN, Marieke Birgitta",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"OHR, Martine",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"HOLSBOER, Eleonoor Wendeline",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"LEJEUNE, Elisabeth Anne Marie",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"LEJEUNE VAN DER BEN, Helena Johanna",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"BELBIN, Tracey Lee",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"NIEUWEWNHUIZEN, Anne Lucia (Anneloes)",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"LIM, Kye-Sook",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"PISANI, Alexandra",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"FOKKE, Annemieke",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"SEO, Kwang-Mi",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"SEO, Hyo-Sun",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"PARK, Soon-Ja",KOR,Women,hockey,Silver,2
1988,Judo,Judo,"HOSOKAWA, Shinji",JPN,Men,- 60 kg,Bronze,1
1988,Hockey,Hockey,"KIM, Young-Sook",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"KIM, Soon-Duk",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"KIM, Mi-Sun",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"JIN, Won-Sim",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"PEREIRA, Jacqueline Margaret",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"HWANG, Keum-Sook",KOR,Women,hockey,Silver,2
1988,Judo,Judo,"TOTIKASHVILI, Amiran",URS,Men,- 60 kg,Bronze,1
1988,Hockey,Hockey,"HAN, Gum Shil",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"CHUNG, Sang-Hyun",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"CHUNG, Eun-Kyung",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"CHOI, Choon-Ok",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"CHO, Ki-Hyang",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"CHANG, Eun-Jung",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"TOOTH, Liane Marianne",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"SMALL, Kim",AUS,Women,hockey,Gold,3
1988,Hockey,Hockey,"HAN, Ok-Kyung",KOR,Women,hockey,Silver,2
1988,Hockey,Hockey,"DE BEUS, Bernadette",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"LEISTRA, Frank",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"BOLHUIS-EIJSVOGEL, Maria Yolanda C.",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"KIRKWOOD, James William",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"KERLY, Sean Robin",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"GRIMLEY, Martyn Andrew",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"GARCIA, Russell Simon",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"FAULKNER, David Andrew Vince.",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"DODDS, Richard David Allan",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"CLIFT, Robert",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"BHAURA, Kulbir Singh",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"BATCHELOR, Steven James",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"LEMAN, Richard Alexander",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"BARBER, Paul Jason",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"STEENS, Timotheus Bernardus",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"SCHLATMANN, Gert Jan",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"PARLEVLIET, Erik Robbert",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"KRUIZE, Jan Hidde",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"KOOIJMAN, Hendrik Jan",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"KLAASSEN, Rene Nico Hubertus",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"FABER, Patrick Franciscus Maria",NED,Men,hockey,Bronze,1
1988,Judo,Judo,"KIM, Jae-Yup",KOR,Men,- 60 kg,Gold,3
1988,Hockey,Hockey,"JANSEN, Franciscus Ronaldus Maria",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"VAN DEN HONERT, Taco",NED,Men,hockey,Bronze,1
1988,Hockey,Hockey,"BUTER, Yvonne",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"MARTIN, Stephen Alexander.",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"POTTER, Jonathan Nicholas M.",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"BENNINGA, Carina",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"AARDENBURG, Willemien",NED,Women,hockey,Bronze,1
1988,Hockey,Hockey,"SCHMIDT-OPPER, Ekkhard",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"SCHLIEMANN, Christian",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"RECK, Thomas Werner",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"MOLLANDIN, Andreas",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"METZ, Michael",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"KELLER, Andreas",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"HILGERS, Michael",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"PAPPIN, Veryan Guy Henry",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"HANEL, Horst-Ulrich",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"FRANK, Tobias",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"FISCHER, Carsten",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"FASTRICH, Hans-Henning",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"DOPP, Heiner",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"BRINKMANN, Thomas",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"BRINKMANN, Dirk",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"BLÃCHER, Stefan",FRG,Men,hockey,Silver,2
1988,Hockey,Hockey,"TAYLOR, Ian Charles Boucher",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"SHERWANI, Imran Ahmed Khan",GBR,Men,hockey,Gold,3
1988,Hockey,Hockey,"FRIED, Volker",FRG,Men,hockey,Silver,2
1988,Judo,Judo,"ASANO, Kevin Yoshimi",USA,Men,- 60 kg,Silver,2
1988,Rowing,Rowing,"ZHOU, Shouying",CHN,Women,eight with coxswain (8+),Bronze,1
1988,Judo,Judo,"VERICHEV, Grigori",URS,Men,+ 95kg (heavyweight),Bronze,1
1988,Rowing,Rowing,"SCHULTZ, Eckhardt",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"RABE, Bahne",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"MÃLLENKAMP, Thomas",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"MELLINGHAUS, Matthias",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"MÃNNIG, Wolfgang",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"KLEIN, Manfred Willi",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"EICHHOLZ, Armin",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"DOMAIN, Thomas",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"TETI, Michael Francis",USA,Men,eight with coxswain (8+),Bronze,1
1988,Rowing,Rowing,"WESSLING, Ansgar",FRG,Men,eight with coxswain (8+),Gold,3
1988,Rowing,Rowing,"SMITH, Jonathan S.",USA,Men,eight with coxswain (8+),Bronze,1
1988,Rowing,Rowing,"PESCATORE, John A.",USA,Men,eight with coxswain (8+),Bronze,1
1988,Rowing,Rowing,"PATTON, Edward Bickford",USA,Men,eight with coxswain (8+),Bronze,1
1988,Rowing,Rowing,"NORDELL, Peter W.",USA,Men,eight with coxswain (8+),Bronze,1
1988,Rowing,Rowing,"MCLAUGHLIN, Jeffrey Dean",USA,Men,eight with coxswain (8+),Bronze,1
1988,Rowing,Rowing,"BURDEN, William Douglas",USA,Men,eight with coxswain (8+),Bronze,1
1988,Rowing,Rowing,"BAUER, Seth David",USA,Men,eight with coxswain (8+),Bronze,1
1988,Rowing,Rowing,"LIPA, Elisabeta",ROU,Women,double sculls (2x),Silver,2
1988,Rowing,Rowing,"COCHELEA, Veronica",ROU,Women,double sculls (2x),Silver,2
1988,Rowing,Rowing,"SCHRÃTER, Martina",GDR,Women,double sculls (2x),Gold,3
