year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1948,Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,10m platform,Bronze,0
1948,Gymnastics,Artistic G.,"LUCY, Robert",SUI,Men,team competition,Silver,0
1948,Gymnastics,Artistic G.,"REUSCH, Michael",SUI,Men,team competition,Silver,0
1948,Gymnastics,Artistic G.,"STALDER, Josef",SUI,Men,team competition,Silver,0
1948,Gymnastics,Artistic G.,"STUDER, Emil",SUI,Men,team competition,Silver,0
1948,Gymnastics,Artistic G.,"THALMANN, Melchior",SUI,Men,team competition,Silver,0
1948,Gymnastics,Artistic G.,"BAKANIC, Ladislava Aloisie",USA,Women,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"BARONE, Marian Emma Twining",USA,Women,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"CARRUCCIO-LENZ, Consetta Anne",USA,Women,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"DALTON, Dorothy Catherine",USA,Women,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"ELSTE-NEUMANN, Meta",USA,Women,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"SCHIFANO, Helen Mary",USA,Women,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"SCHROTH-LOMADY, Clara Marie",USA,Women,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"SIMONIS, Anita Aline",USA,Women,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"HONSOVA, Zdenka",TCH,Women,team competition,Gold,0
1948,Gymnastics,Artistic G.,"KOVAROVA, Marie",TCH,Women,team competition,Gold,0
1948,Gymnastics,Artistic G.,"MISAKOVA, Miloslava",TCH,Women,team competition,Gold,0
1948,Gymnastics,Artistic G.,"MÃLLEROVA, Milena",TCH,Women,team competition,Gold,0
1948,Gymnastics,Artistic G.,"RUZICKOVA, Vera",TCH,Women,team competition,Gold,0
1948,Gymnastics,Artistic G.,"SILHANOVA, Olga",TCH,Women,team competition,Gold,0
1948,Gymnastics,Artistic G.,"SRNCOVA, Bozena",TCH,Women,team competition,Gold,0
1948,Gymnastics,Artistic G.,"VERMIROVSKA, Zdenka",TCH,Women,team competition,Gold,0
1948,Gymnastics,Artistic G.,"LEHMANN, Walter",SUI,Men,team competition,Silver,0
1948,Gymnastics,Artistic G.,"KIPFER, Christian",SUI,Men,team competition,Silver,0
1948,Gymnastics,Artistic G.,"FREI, Karl",SUI,Men,team competition,Silver,0
1948,Gymnastics,Artistic G.,"TERÃSVIRTA, Einari Allan",FIN,Men,team competition,Gold,0
1948,Gymnastics,Artistic G.,"HUHTANEN, Veikko",FIN,Men,parallel bars,Silver,0
1948,Gymnastics,Artistic G.,"AALTONEN, Paavo Johannes",FIN,Men,pommel horse,Gold,0
1948,Gymnastics,Artistic G.,"HUHTANEN, Veikko",FIN,Men,pommel horse,Gold,0
1948,Gymnastics,Artistic G.,"SAVOLAINEN, Heikki",FIN,Men,pommel horse,Gold,0
1948,Gymnastics,Artistic G.,"RUZICKA, Zdenek",TCH,Men,rings,Bronze,0
1948,Gymnastics,Artistic G.,"FREI, Karl",SUI,Men,rings,Gold,0
1948,Gymnastics,Artistic G.,"REUSCH, Michael",SUI,Men,rings,Silver,0
1948,Gymnastics,Artistic G.,"BARANYAI, Laszlo",HUN,Men,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"FEKETE, Jozsef",HUN,Men,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"MOGYOROSI, GyÃ¶zÃ¶",HUN,Men,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"FEHER, Anna",HUN,Women,team competition,Silver,0
1948,Gymnastics,Artistic G.,"MOGYOROSI-KLENCS, Janos",HUN,Men,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"SANTHA, Lajos",HUN,Men,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"TOTH, Lajos",HUN,Men,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"VARKOI, Ferenc",HUN,Men,team competition,Bronze,0
1948,Gymnastics,Artistic G.,"AALTONEN, Paavo Johannes",FIN,Men,team competition,Gold,0
1948,Gymnastics,Artistic G.,"HUHTANEN, Veikko",FIN,Men,team competition,Gold,0
1948,Gymnastics,Artistic G.,"LAITINEN, Kalevi Johannes",FIN,Men,team competition,Gold,0
1948,Gymnastics,Artistic G.,"ROVE, Olavi Antero",FIN,Men,team competition,Gold,0
1948,Gymnastics,Artistic G.,"SAARVALA, Aleksanteri",FIN,Men,team competition,Gold,0
